type,n,min_us,max_us,mean_us,median_us,stddev_us
0,500,68,74,71.444,72,2.242
0,600,85,92,87.444,88,2.242
0,700,103,112,105.556,105,2.877
0,800,118,130,122.000,122,3.742
0,900,140,148,143.444,143,2.789
0,1000,162,179,169.556,169,5.318
0,1100,191,203,198.556,199,3.504
0,1200,212,222,216.556,216,3.358
0,1300,231,241,236.889,237,3.333
0,1400,254,281,265.556,262,11.780
0,1500,276,293,282.222,280,6.241
0,1600,297,313,304.889,303,5.465
0,1700,318,331,324.000,324,3.536
0,1800,339,359,346.444,344,6.187
0,1900,364,384,373.778,371,7.379
0,2000,390,404,395.444,395,4.003
0,2100,417,432,425.000,427,5.612
0,2200,439,447,442.333,442,2.739
0,2300,461,484,470.556,471,8.604
0,2400,481,507,496.444,500,8.633
0,2500,503,530,514.778,512,10.557
0,2600,530,541,535.222,536,4.466
0,2700,556,575,565.667,564,8.261
0,2800,574,595,581.778,580,6.778
0,2900,604,630,618.667,618,8.602
0,3000,621,646,633.333,636,9.000
0,3100,628,658,642.222,642,11.399
0,3200,650,666,657.444,657,5.457
0,3300,673,704,693.000,692,9.708
0,3400,714,731,721.778,721,4.919
0,3500,720,791,751.222,748,19.149
0,3600,764,798,781.111,779,12.046
0,3700,780,820,798.778,798,10.616
0,3800,794,814,802.333,800,7.365
0,3900,824,860,836.444,834,12.249
0,4000,850,887,866.667,861,13.675
0,4100,881,1190,950.222,915,94.863
0,4200,925,955,938.222,938,9.846
0,4300,940,965,952.444,954,7.634
0,4400,958,993,981.000,985,10.759
0,4500,977,1023,995.222,990,16.910
0,4600,999,1025,1007.111,1007,7.785
0,4700,1024,1067,1038.889,1041,13.833
0,4800,1048,1082,1067.333,1074,13.657
0,4900,1074,1105,1094.889,1097,9.519
0,5000,1096,1182,1119.222,1104,26.720
0,5100,1117,1180,1147.556,1152,22.628
0,5200,1145,1218,1185.000,1187,23.796
0,5300,1201,1233,1209.111,1207,9.597
0,5400,1211,1408,1255.556,1236,60.054
0,5500,1224,1313,1270.444,1263,31.789
0,5600,1246,1319,1285.556,1284,26.292
0,5700,1273,1488,1332.778,1321,60.852
0,5800,1303,1444,1333.333,1319,43.684
0,5900,1325,1418,1365.667,1360,24.264
0,6000,1338,1607,1386.333,1357,85.209
0,6100,1373,1428,1397.111,1396,18.114
0,6200,1428,1555,1465.333,1458,38.033
0,6300,1415,1500,1460.333,1461,32.909
0,6400,1445,1607,1494.111,1484,52.580
0,6500,1475,1524,1496.556,1499,17.707
0,6600,1505,1553,1539.111,1540,14.075
0,6700,1551,1596,1574.333,1574,14.379
0,6800,1551,1798,1621.889,1595,72.492
0,6900,1568,1817,1644.889,1627,81.909
0,7000,1563,1763,1623.889,1608,58.718
0,7100,1626,1703,1665.556,1670,30.427
0,7200,1690,1766,1714.889,1702,25.920
0,7300,1715,1767,1741.000,1735,19.300
0,7400,1766,1999,1809.333,1784,72.839
0,7500,1772,2015,1822.778,1801,73.886
0,7600,1815,1979,1851.111,1833,50.610
0,7700,1818,1884,1851.000,1859,24.536
0,7800,1835,1972,1891.000,1888,45.183
0,7900,1855,1952,1906.889,1926,36.026
0,8000,1897,2409,2064.333,1915,205.239
0,8100,1817,2299,2002.556,1911,186.085
0,8200,1946,2257,2038.111,2021,88.368
0,8300,2018,2063,2042.000,2045,14.543
0,8400,2047,2111,2066.889,2069,19.509
0,8500,2074,2318,2127.667,2106,74.478
0,8600,2063,2134,2097.556,2095,22.311
0,8700,2065,2292,2126.111,2126,68.521
0,8800,2085,2249,2138.889,2113,56.876
0,8900,2117,2237,2192.556,2202,39.671
0,9000,2157,2284,2221.556,2232,35.784
0,9100,2181,2492,2281.889,2222,119.888
0,9200,2197,2277,2222.778,2212,28.904
0,9300,2278,2371,2319.111,2323,28.462
0,9400,2285,2526,2373.111,2374,68.614
0,9500,2273,2552,2377.667,2368,75.822
0,9600,2348,2464,2401.111,2413,36.529
0,9700,2345,2416,2383.333,2383,25.189
0,9800,2373,2639,2453.778,2408,102.958
0,9900,2409,2452,2434.111,2442,16.662
