type,n,min_us,max_us,mean_us,median_us,stddev_us
0,500,94,102,97.556,99,3.046
0,600,132,138,134.000,134,2.291
0,700,168,174,170.333,170,1.803
0,800,206,220,214.889,217,4.622
0,900,206,213,207.444,207,2.186
0,1000,230,296,259.667,242,27.839
0,1100,272,277,274.111,274,1.537
0,1200,307,311,308.000,307,1.414
0,1300,347,352,350.000,350,1.732
0,1400,370,408,391.333,396,13.491
0,1500,434,565,482.333,463,50.855
0,1600,463,629,496.444,479,51.071
0,1700,434,569,466.000,444,49.422
0,1800,467,483,474.222,473,6.300
0,1900,514,659,545.444,527,46.479
0,2000,535,584,560.222,556,15.683
0,2100,600,621,610.556,614,8.428
0,2200,619,660,643.778,649,14.618
0,2300,672,881,708.556,691,65.487
0,2400,671,713,697.000,691,14.790
0,2500,729,969,793.556,743,88.916
0,2600,760,993,821.889,798,74.050
0,2700,816,1031,858.778,833,66.994
0,2800,842,878,860.000,862,10.920
0,2900,894,949,911.222,908,15.081
0,3000,927,1188,989.778,973,76.764
0,3100,966,1241,1025.778,992,84.640
0,3200,988,1071,1036.556,1041,24.805
0,3300,873,928,907.556,905,16.387
0,3400,954,1346,1052.222,988,131.676
0,3500,984,1025,1000.556,995,14.501
0,3600,1022,1083,1055.222,1053,17.072
0,3700,1062,1247,1102.333,1079,58.342
0,3800,1097,1161,1126.111,1122,21.228
0,3900,1127,1409,1208.667,1162,101.606
0,4000,1184,1429,1224.556,1196,77.764
0,4100,1224,1276,1250.778,1245,17.761
0,4200,1317,1482,1339.778,1321,53.626
0,4300,1353,1514,1411.889,1391,64.677
0,4400,1318,1434,1371.667,1369,43.139
0,4500,1372,1515,1428.778,1407,47.825
0,4600,1407,1594,1467.556,1467,55.252
0,4700,1457,1692,1506.667,1486,71.171
0,4800,1512,1910,1574.667,1518,131.550
0,4900,1509,1804,1591.111,1569,84.581
0,5000,1540,1615,1566.556,1559,26.249
0,5100,1597,1630,1605.778,1599,13.358
0,5200,1591,2128,1692.778,1660,165.950
0,5300,1636,1848,1685.111,1670,62.766
0,5400,1666,1941,1741.111,1675,102.621
0,5500,1692,1774,1724.889,1723,24.482
0,5600,1757,1880,1793.889,1776,44.067
0,5700,1793,1858,1813.000,1806,20.585
0,5800,1749,1821,1792.778,1796,20.687
0,5900,1800,2245,1878.889,1835,138.645
0,6000,1860,1880,1869.222,1870,6.942
0,6100,1851,2228,1946.778,1911,110.142
0,6200,1895,1963,1928.444,1912,31.457
0,6300,1904,1976,1952.889,1952,21.175
0,6400,1954,2009,1996.000,2003,17.059
