type,n,min_us,max_us,mean_us,median_us,stddev_us
0,500,75,86,78.111,77,3.219
0,600,95,101,97.000,96,2.179
0,700,120,130,121.444,120,3.245
0,800,133,160,141.444,141,7.667
0,900,154,163,157.000,156,3.041
0,1000,177,195,185.333,187,6.083
0,1100,219,230,223.778,223,3.528
0,1200,252,457,282.667,260,65.618
0,1300,287,406,322.222,302,44.028
0,1400,316,338,326.889,327,7.524
0,1500,345,383,359.556,357,12.541
0,1600,372,382,376.444,376,4.003
0,1700,398,498,420.333,407,30.798
0,1800,411,449,432.889,434,11.645
0,1900,439,461,449.000,447,7.124
0,2000,451,489,464.000,454,14.967
0,2100,454,488,470.222,467,11.377
0,2200,473,503,489.000,492,10.075
0,2300,493,513,501.556,501,6.839
0,2400,517,539,530.444,534,8.172
0,2500,530,588,548.222,542,17.676
0,2600,559,592,577.556,580,11.991
0,2700,596,633,607.889,602,13.688
0,2800,622,685,651.111,650,20.985
0,2900,673,831,706.222,690,47.966
0,3000,675,740,702.889,705,20.294
0,3100,721,927,801.556,767,78.645
0,3200,722,876,762.333,753,45.665
0,3300,769,1163,963.333,949,140.484
0,3400,824,1401,1051.333,1052,160.742
0,3500,818,1125,947.333,877,124.652
0,3600,1000,1645,1281.000,1257,230.774
0,3700,843,1624,1153.000,1127,242.230
0,3800,830,1338,1049.000,941,193.690
0,3900,1365,1429,1383.000,1378,19.339
0,4000,1260,1381,1322.444,1340,49.074
0,4100,1117,1280,1218.556,1218,49.161
0,4200,1030,1152,1085.667,1086,42.919
0,4300,1027,1223,1075.222,1059,57.190
0,4400,1085,1118,1094.111,1089,11.129
0,4500,1123,1181,1140.889,1139,18.798
0,4600,1140,1176,1159.333,1161,11.281
0,4700,1229,1269,1242.667,1236,13.865
0,4800,1227,1419,1281.556,1273,54.654
0,4900,1296,1327,1306.000,1300,12.379
0,5000,1322,1389,1342.778,1342,23.381
0,5100,1345,1373,1356.000,1353,10.050
0,5200,1351,1389,1372.889,1374,14.348
0,5300,1370,1462,1406.111,1406,27.656
0,5400,1439,1596,1482.333,1450,62.584
0,5500,1457,1617,1516.778,1500,49.668
0,5600,1479,1538,1508.556,1511,18.091
0,5700,1526,1553,1539.333,1536,9.526
0,5800,1515,1574,1554.889,1563,21.561
0,5900,1589,1629,1603.556,1598,13.510
0,6000,1613,1671,1639.444,1633,18.782
0,6100,1599,1667,1623.778,1618,24.545
0,6200,1662,1697,1675.667,1673,11.380
0,6300,1670,1724,1706.778,1716,19.499
0,6400,1695,1749,1722.333,1719,16.401
0,6500,1725,2329,1872.556,1815,185.251
0,6600,1710,1813,1744.556,1747,34.169
0,6700,1831,1880,1848.778,1849,15.197
0,6800,1869,1902,1883.222,1883,9.589
0,6900,1863,1920,1896.111,1895,16.624
0,7000,1866,2608,2031.778,1975,223.949
0,7100,1903,2156,1975.889,1950,72.647
0,7200,1967,2012,1990.556,1990,14.766
0,7300,2003,2129,2043.222,2020,44.586
0,7400,1984,2111,2046.778,2054,48.471
0,7500,2024,2301,2105.111,2058,100.561
0,7600,2055,2140,2080.111,2071,27.497
0,7700,2083,2152,2105.222,2097,22.067
0,7800,2097,2217,2146.222,2151,38.506
0,7900,2070,2260,2157.000,2129,67.305
0,8000,2096,2193,2149.111,2156,33.917
0,8100,2194,2274,2233.000,2236,25.836
0,8200,2099,2227,2166.444,2162,40.321
0,8300,2255,2337,2295.444,2294,26.519
0,8400,2306,2492,2367.222,2354,57.408
0,8500,2326,2387,2360.444,2358,19.520
0,8600,2391,2639,2473.778,2428,94.214
0,8700,2416,2501,2455.000,2461,32.214
0,8800,2453,2569,2506.778,2518,35.685
0,8900,2401,2486,2448.111,2441,35.187
0,9000,2501,2601,2537.222,2538,32.824
0,9100,2552,2904,2630.556,2592,113.015
0,9200,2546,2703,2606.667,2605,55.313
0,9300,2647,2712,2686.889,2687,18.279
0,9400,2687,2823,2755.222,2760,42.491
0,9500,2605,3139,2747.111,2664,172.677
0,9600,2694,2818,2735.000,2728,36.609
0,9700,2669,2974,2784.444,2786,88.872
0,9800,2747,2881,2783.444,2771,39.885
0,9900,2719,2926,2790.889,2776,60.761
0,10000,2780,3037,2855.889,2824,79.118
0,10100,2774,3061,2885.444,2863,102.741
0,10200,2877,3109,2937.333,2923,74.473
0,10300,2782,3053,2893.667,2886,76.738
0,10400,2896,2981,2946.333,2954,31.024
0,10500,2955,3390,3054.444,2998,132.572
0,10600,2988,3082,3023.667,3005,34.986
0,10700,3021,3119,3066.222,3065,33.003
0,10800,3049,3173,3104.556,3087,40.860
0,10900,3068,3222,3122.556,3101,51.264
0,11000,3059,3286,3143.111,3130,64.704
0,11100,3137,3337,3191.333,3179,63.069
0,11200,3179,3432,3262.444,3224,99.291
0,11300,3121,3550,3310.222,3310,117.232
0,11400,3264,3488,3326.444,3296,75.720
0,11500,3245,3435,3322.000,3313,57.873
0,11600,3308,3472,3365.667,3343,52.787
0,11700,3429,3818,3529.222,3489,120.694
0,11800,3324,3621,3456.556,3458,103.327
0,11900,3404,3647,3468.000,3435,77.293
0,12000,3392,3586,3480.333,3467,63.520
0,12100,3433,3628,3525.556,3529,64.611
0,12200,3451,3659,3516.000,3503,65.578
0,12300,3504,3631,3549.667,3543,42.018
0,12400,3536,3716,3622.778,3625,63.978
0,12500,3569,3699,3643.778,3644,41.463
0,12600,3604,3811,3677.222,3656,71.430
0,12700,3513,3981,3645.778,3636,138.288
0,12800,3680,3976,3770.222,3715,105.721
0,12900,3722,3920,3800.333,3756,75.474
0,13000,3732,3844,3779.667,3787,34.688
0,13100,3683,4235,3829.111,3790,157.714
0,13200,3735,3980,3807.667,3780,71.977
0,13300,3841,4094,3911.556,3885,80.237
0,13400,3846,4353,3962.222,3931,155.997
0,13500,3901,4111,3974.444,3930,81.113
0,13600,3709,4503,4059.667,3988,277.125
0,13700,3788,3951,3873.333,3869,44.522
0,13800,3978,4051,4013.111,4014,23.540
0,13900,4022,4225,4100.667,4079,66.368
0,14000,4039,4285,4164.111,4158,73.278
0,14100,4062,4258,4142.333,4119,64.214
0,14200,4093,4167,4144.889,4158,24.721
0,14300,4107,4242,4173.222,4169,41.749
0,14400,4164,4302,4230.333,4248,43.974
0,14500,4188,4463,4276.444,4263,80.092
0,14600,4237,4386,4305.444,4294,63.620
0,14700,4253,4549,4360.778,4324,108.024
0,14800,4336,4484,4412.000,4399,44.399
0,14900,4323,4506,4408.889,4398,55.775
0,15000,4363,4516,4444.111,4449,56.808
0,15100,4393,4615,4491.889,4469,80.616
0,15200,4418,4593,4511.444,4502,53.400
0,15300,4333,4644,4495.556,4500,96.947
0,15400,4365,4615,4515.889,4532,69.135
0,15500,4379,4607,4458.667,4439,77.661
0,15600,4523,4698,4589.000,4592,50.735
0,15700,4592,4727,4641.889,4620,52.265
0,15800,4627,4980,4735.778,4717,106.259
0,15900,4642,4788,4709.333,4703,46.147
0,16000,4659,4800,4721.444,4731,48.198
0,16100,4721,4999,4866.667,4869,75.982
0,16200,4729,4938,4802.444,4789,69.152
0,16300,4780,5005,4854.333,4860,73.127
0,16400,4578,4960,4724.889,4681,133.079
0,16500,4804,4980,4881.556,4886,53.836
0,16600,4819,5100,4959.444,4971,89.800
0,16700,4846,5120,4933.222,4929,80.195
0,16800,4911,5158,5041.556,5054,77.621
0,16900,4843,5102,4984.222,4982,86.075
0,17000,4234,5068,4640.667,4779,302.420
0,17100,4487,4695,4591.000,4584,70.922
0,17200,4584,4751,4657.000,4650,54.829
0,17300,4645,4817,4732.889,4736,51.818
0,17400,4675,4873,4772.222,4773,58.015
0,17500,4772,4892,4853.333,4869,40.672
0,17600,4827,5008,4913.222,4916,50.714
0,17700,4748,5015,4859.333,4858,77.626
0,17800,4860,5068,4971.556,4997,68.548
0,17900,4886,5175,5034.778,5054,103.800
0,18000,4873,5210,5056.889,5071,90.155
0,18100,5018,5283,5114.111,5124,87.049
0,18200,4943,5452,5107.222,5054,144.985
0,18300,5161,5303,5210.889,5200,44.546
0,18400,5051,5484,5191.444,5133,134.132
0,18500,5007,5508,5164.000,5131,141.315
0,18600,5163,5479,5267.222,5242,98.042
0,18700,5170,6012,5374.444,5290,254.868
0,18800,5281,5476,5364.556,5334,68.319
0,18900,5164,5510,5338.444,5317,105.830
0,19000,5266,5522,5378.556,5349,86.535
0,19100,5226,5639,5415.000,5433,140.381
0,19200,5390,5508,5455.667,5464,43.235
0,19300,5364,5564,5435.333,5424,68.015
0,19400,5085,6855,5776.000,5550,619.163
0,19500,5093,6049,5654.444,5692,324.073
0,19600,5491,5965,5681.778,5700,134.852
0,19700,5773,6050,5898.444,5882,85.986
0,19800,5933,6226,6084.222,6081,86.058
0,19900,5982,6157,6051.333,6036,58.526
0,20000,6020,6232,6119.667,6102,71.997
0,20100,6027,6225,6099.000,6095,60.992
0,20200,5993,6220,6106.556,6086,71.792
0,20300,6084,6280,6183.000,6193,64.131
0,20400,6120,6377,6255.111,6215,85.864
0,20500,6131,6428,6259.667,6272,110.826
0,20600,6188,6500,6323.778,6287,93.733
0,20700,6262,6408,6336.333,6333,48.557
0,20800,5997,6865,6331.222,6281,255.506
0,20900,6347,6511,6430.667,6438,65.269
0,21000,6363,6710,6479.222,6418,130.361
0,21100,6447,6593,6522.556,6542,48.936
0,21200,6424,6584,6475.111,6460,58.625
0,21300,6472,6711,6542.889,6514,80.605
0,21400,6438,6756,6557.556,6518,115.253
0,21500,6195,7370,6558.667,6445,346.835
0,21600,6320,6718,6546.000,6648,161.675
0,21700,6568,6806,6652.000,6655,77.762
0,21800,6619,6817,6731.556,6741,82.905
0,21900,6659,6895,6794.333,6772,83.851
0,22000,6691,6988,6778.556,6729,101.297
0,22100,6721,7525,6904.000,6838,242.239
0,22200,6781,6905,6837.444,6827,41.696
0,22300,6776,6909,6839.333,6844,47.453
0,22400,6777,7045,6929.111,6921,90.572
0,22500,6876,7061,6955.889,6936,61.876
0,22600,6895,7101,7001.111,6984,75.544
0,22700,6838,7195,7048.222,7078,116.111
0,22800,6901,7261,7116.444,7146,121.344
0,22900,6985,7303,7113.667,7093,113.529
0,23000,7018,7281,7160.444,7188,88.058
0,23100,7096,7487,7229.667,7219,127.528
0,23200,7093,7593,7232.778,7214,143.298
0,23300,7141,7372,7238.778,7229,73.450
0,23400,7188,7416,7296.333,7301,70.521
0,23500,6914,7602,7200.667,7214,216.123
0,23600,7179,7644,7326.889,7273,157.699
0,23700,7238,7416,7303.444,7273,60.477
0,23800,7294,8068,7442.889,7317,257.869
0,23900,7285,7618,7443.556,7437,114.900
0,24000,7301,7709,7514.222,7521,103.799
0,24100,7386,7765,7504.444,7467,129.454
0,24200,7358,7661,7526.556,7497,110.401
0,24300,7376,7742,7555.333,7542,120.180
0,24400,7159,7805,7498.556,7478,172.714
0,24500,7502,7741,7586.444,7550,82.872
0,24600,7270,7712,7460.667,7411,137.756
0,24700,7563,7793,7688.333,7706,79.104
0,24800,7579,7909,7747.667,7755,105.539
0,24900,7334,8038,7701.444,7748,225.669
0,25000,7497,7869,7683.778,7654,128.001
0,25100,7694,7925,7804.667,7828,68.793
0,25200,7508,8000,7821.556,7832,153.323
0,25300,7756,8127,7935.333,7973,125.551
0,25400,7835,7974,7908.667,7917,48.156
0,25500,7754,8059,7949.778,7973,97.543
0,25600,7853,8228,7960.667,7932,130.679
0,25700,7959,8164,8032.778,8008,69.575
0,25800,7918,8226,8045.333,8016,122.834
0,25900,7997,8300,8150.333,8179,93.005
0,26000,8041,8414,8161.556,8110,129.340
0,26100,8057,8590,8261.778,8233,160.914
0,26200,8051,8271,8167.667,8133,71.393
0,26300,7855,8357,8072.556,8037,171.129
0,26400,8155,8428,8307.444,8332,93.403
0,26500,8118,8391,8213.889,8189,78.210
0,26600,8239,8591,8354.667,8353,111.531
0,26700,8259,8502,8344.111,8294,89.665
0,26800,8278,8624,8413.111,8347,122.932
0,26900,8351,8686,8497.111,8441,124.141
0,27000,8331,8624,8454.556,8401,124.197
0,27100,8336,8724,8514.222,8527,125.369
0,27200,8358,8705,8552.111,8562,107.545
0,27300,8446,8737,8569.222,8599,107.328
0,27400,8574,8733,8639.333,8630,59.645
0,27500,8528,8795,8621.556,8589,92.261
0,27600,8554,8832,8684.444,8664,91.754
0,27700,8624,8920,8775.667,8771,90.420
0,27800,8663,9155,8849.444,8871,150.562
0,27900,8624,8872,8771.333,8803,93.738
0,28000,8747,8949,8822.222,8786,79.273
0,28100,8687,9103,8901.444,8932,135.543
0,28200,8744,9044,8916.222,8916,92.140
0,28300,8713,9092,8903.667,8936,128.771
0,28400,8505,9098,8879.778,8980,232.660
0,28500,8630,8962,8799.444,8791,97.369
0,28600,8799,9211,9002.667,9004,110.807
0,28700,8934,9208,9041.333,9012,90.617
0,28800,8866,9195,9098.222,9143,126.564
0,28900,9017,9295,9120.000,9098,78.976
0,29000,9048,9302,9175.000,9159,88.744
0,29100,8994,9270,9145.667,9163,88.983
