type,n,min_us,max_us,mean_us,median_us,stddev_us
0,500,54,91,61.333,58,11.522
0,600,63,82,68.778,67,5.674
0,700,76,90,82.222,81,4.147
0,800,93,103,98.444,99,3.877
0,900,106,116,110.667,110,3.969
0,1000,114,209,140.333,123,36.125
0,1100,134,218,147.111,140,26.765
0,1200,152,376,196.889,155,75.154
0,1300,157,174,166.556,168,5.790
0,1400,170,321,204.778,182,56.324
0,1500,189,306,209.444,197,36.637
0,1600,199,340,226.111,216,43.308
0,1700,215,433,248.444,226,69.518
0,1800,232,388,260.222,242,48.833
0,1900,247,664,348.111,273,167.406
0,2000,263,295,275.000,274,9.975
0,2100,279,447,317.333,282,69.176
0,2200,288,526,324.556,301,76.020
0,2300,315,348,325.667,323,10.724
0,2400,308,379,328.889,325,20.865
0,2500,325,594,371.111,343,84.270
0,2600,349,592,391.000,365,77.151
0,2700,355,409,376.222,373,15.425
0,2800,375,656,425.111,402,87.118
0,2900,381,636,452.778,406,99.832
0,3000,399,457,418.778,419,16.323
0,3100,414,448,430.111,426,10.717
0,3200,433,806,493.667,460,118.094
0,3300,443,763,497.889,465,101.053
0,3400,464,763,514.222,473,95.186
0,3500,483,529,498.889,497,14.794
0,3600,501,537,521.111,521,11.731
0,3700,506,561,536.556,537,17.451
0,3800,536,596,558.778,553,21.493
0,3900,543,589,564.778,562,13.944
0,4000,547,609,580.889,582,19.225
0,4100,580,713,622.000,607,40.869
0,4200,586,649,623.222,619,18.893
0,4300,606,690,633.667,623,29.356
0,4400,599,662,641.444,653,22.367
0,4500,635,705,674.111,675,20.745
0,4600,639,738,690.000,687,28.337
0,4700,668,731,703.222,706,22.202
0,4800,696,776,725.778,722,24.565
0,4900,699,798,737.889,730,33.917
0,5000,710,800,740.889,733,26.346
0,5100,728,808,757.000,752,24.642
0,5200,739,867,777.778,756,46.588
0,5300,759,1271,857.556,810,158.488
0,5400,771,893,810.000,808,34.216
0,5500,801,2196,1089.222,823,542.089
0,5600,812,1433,906.444,837,199.094
0,5700,827,912,863.222,856,32.633
0,5800,842,883,860.556,861,13.584
0,5900,845,963,890.889,880,38.670
0,6000,867,957,908.556,911,32.665
0,6100,886,955,917.667,912,26.716
0,6200,908,1018,948.556,940,33.868
0,6300,931,1009,965.889,963,24.122
0,6400,926,1009,971.556,965,29.228
0,6500,988,1042,1011.222,1013,18.322
0,6600,987,1047,1011.000,1010,17.699
0,6700,975,1038,1001.444,1001,21.214
0,6800,994,1066,1033.667,1032,19.831
0,6900,999,1103,1050.000,1060,36.626
0,7000,1017,1248,1103.000,1089,64.850
0,7100,1042,1099,1064.667,1052,22.074
0,7200,1078,1169,1123.556,1116,33.597
0,7300,1084,1198,1132.667,1123,35.107
0,7400,1102,1253,1166.000,1157,50.448
0,7500,1106,1190,1151.111,1156,28.140
0,7600,1117,1262,1190.556,1197,46.269
0,7700,1137,1308,1186.667,1181,53.207
0,7800,1156,1290,1205.778,1200,38.665
0,7900,1181,1264,1216.222,1215,26.794
0,8000,1138,1323,1223.778,1227,49.256
0,8100,1217,1334,1264.889,1264,46.294
0,8200,1242,1416,1306.778,1297,48.887
0,8300,1280,1354,1307.556,1304,25.633
0,8400,1282,1349,1320.667,1323,22.804
0,8500,1285,1398,1350.000,1353,37.957
0,8600,1289,1350,1320.222,1322,18.390
0,8700,1306,1443,1370.444,1368,42.480
0,8800,1354,1462,1386.778,1378,33.342
0,8900,1347,1402,1366.222,1360,17.290
0,9000,1338,1461,1412.000,1430,47.658
0,9100,1342,1449,1387.667,1391,32.265
0,9200,1411,1505,1461.778,1459,33.855
0,9300,1402,1526,1457.333,1461,33.745
0,9400,1426,1601,1498.222,1490,55.547
0,9500,1444,1552,1497.889,1496,30.214
0,9600,1487,1605,1530.667,1519,42.787
0,9700,1470,1641,1578.111,1609,61.692
0,9800,1469,1600,1550.333,1553,41.704
0,9900,1521,1734,1602.444,1605,66.333
0,10000,1564,1703,1610.778,1609,48.831
0,10100,1563,1733,1669.333,1683,56.943
0,10200,1579,1726,1629.889,1621,45.347
0,10300,1633,1731,1667.444,1672,34.187
0,10400,1640,1736,1689.889,1692,35.037
0,10500,1609,1794,1695.889,1694,68.322
0,10600,1590,1751,1664.556,1660,42.936
0,10700,1586,1824,1697.111,1704,64.301
0,10800,1634,1758,1686.778,1694,36.830
0,10900,1632,1736,1675.556,1673,30.623
0,11000,1694,1828,1738.333,1730,47.702
0,11100,1687,1846,1744.000,1736,51.790
0,11200,1700,1843,1767.000,1777,41.587
0,11300,1814,1937,1853.333,1837,40.899
0,11400,1737,1993,1856.556,1843,84.225
0,11500,1817,1921,1872.889,1902,43.161
0,11600,1857,2017,1931.222,1928,58.711
0,11700,1850,2001,1909.556,1889,48.985
0,11800,1822,1989,1892.444,1898,57.845
0,11900,1833,2095,1968.000,1976,86.813
0,12000,1866,2073,1969.556,1952,72.175
0,12100,1900,1989,1942.889,1937,33.352
0,12200,1932,2118,1982.889,1977,54.987
0,12300,1970,2067,2014.000,2011,28.922
0,12400,1920,2116,1988.889,1991,59.358
0,12500,1994,2112,2040.778,2050,43.020
0,12600,1960,2249,2095.000,2086,81.777
0,12700,1979,2153,2088.222,2108,61.491
0,12800,2051,2185,2109.556,2116,41.368
0,12900,2042,2236,2128.667,2119,57.443
0,13000,1992,2212,2116.556,2136,67.925
0,13100,2089,2205,2146.222,2162,42.281
0,13200,2083,2255,2172.222,2177,48.997
0,13300,2096,2372,2170.111,2146,84.339
0,13400,2079,2350,2199.556,2190,88.126
