type,n,min_us,max_us,mean_us,median_us,stddev_us
0,500,65,115,88.889,79,20.417
0,600,81,94,86.333,83,5.148
0,700,100,348,140.000,114,78.796
0,800,89,140,105.556,100,17.714
0,900,101,133,117.222,115,9.985
0,1000,160,207,179.444,179,13.938
0,1100,179,255,199.889,190,23.840
0,1200,130,393,186.000,164,80.165
0,1300,164,584,233.889,190,133.048
0,1400,160,176,169.778,171,4.577
0,1500,190,273,237.333,259,35.433
0,1600,219,270,241.333,240,16.726
0,1700,257,295,269.111,267,10.787
0,1800,288,316,299.222,299,10.837
0,1900,379,468,420.667,411,30.356
0,2000,378,415,399.667,403,10.794
0,2100,281,307,295.000,300,9.925
0,2200,306,467,400.222,409,48.241
0,2300,296,348,321.778,321,13.682
0,2400,321,398,356.889,351,29.247
0,2500,335,419,370.556,373,24.865
0,2600,378,441,409.667,404,19.455
0,2700,435,517,459.111,450,26.928
0,2800,469,571,501.000,497,28.805
0,2900,479,526,497.111,499,17.631
0,3000,479,547,516.889,520,22.447
0,3100,494,523,510.111,510,9.558
0,3200,510,539,519.444,518,8.876
0,3300,495,540,521.111,525,17.730
0,3400,521,607,546.889,543,27.420
0,3500,526,564,545.556,550,13.417
0,3600,547,601,572.556,575,21.437
0,3700,559,603,586.667,592,13.684
0,3800,570,620,599.222,601,13.396
0,3900,579,671,622.778,623,23.674
0,4000,633,664,649.333,647,10.595
0,4100,656,859,711.667,697,64.230
0,4200,648,827,733.333,726,66.579
0,4300,806,1087,920.333,912,76.207
0,4400,722,907,810.889,792,68.805
0,4500,698,966,838.111,868,99.474
0,4600,692,953,745.111,710,82.802
0,4700,703,767,724.222,712,24.550
0,4800,696,807,747.222,746,41.776
0,4900,753,806,778.889,777,16.759
0,5000,749,1178,816.222,770,136.843
0,5100,761,857,804.333,793,33.993
0,5200,803,924,868.222,866,39.395
0,5300,823,908,856.222,852,24.524
0,5400,833,910,860.667,852,23.738
0,5500,824,958,875.556,865,40.153
0,5600,892,1299,962.444,927,127.114
0,5700,890,959,907.111,903,21.133
0,5800,881,954,919.778,922,24.040
0,5900,901,1126,983.778,953,79.688
0,6000,914,1027,962.000,970,38.311
0,6100,919,1004,968.333,972,30.668
0,6200,963,1044,1005.333,1011,25.446
0,6300,973,1020,990.444,984,15.183
0,6400,964,1037,1006.889,1013,23.971
0,6500,1050,1858,1299.333,1273,249.032
0,6600,994,1061,1038.556,1040,21.184
0,6700,1080,1888,1352.889,1180,281.423
0,6800,926,1006,973.556,971,25.185
0,6900,986,1225,1079.444,1066,78.492
0,7000,1040,1467,1284.667,1329,134.191
0,7100,1376,1545,1458.000,1464,55.448
0,7200,1282,1442,1362.556,1371,46.856
0,7300,1211,1346,1278.889,1273,46.916
0,7400,1197,1318,1255.778,1246,43.089
0,7500,1204,1306,1244.444,1231,33.095
0,7600,1201,1286,1257.444,1263,24.455
0,7700,1250,1354,1302.222,1303,37.612
0,7800,1315,1431,1361.444,1345,43.635
0,7900,1303,1462,1393.222,1397,49.185
0,8000,1333,1565,1403.111,1393,70.117
0,8100,1364,1448,1403.667,1400,23.901
0,8200,1388,1520,1435.000,1425,39.516
0,8300,1439,1518,1477.000,1474,26.315
0,8400,1383,1519,1458.333,1454,46.680
0,8500,1361,1515,1426.222,1420,44.432
0,8600,1380,1590,1460.778,1452,56.300
0,8700,1434,1526,1474.889,1470,25.795
0,8800,1463,1540,1496.222,1486,29.882
0,8900,1457,1627,1509.889,1502,53.536
0,9000,1413,1563,1487.000,1494,43.151
0,9100,1512,1641,1565.111,1547,52.442
0,9200,1523,1612,1562.556,1567,27.817
